house_id,sqft_living,bedrooms,bathrooms,lot_size,year_built,price
101,1180,3,1.0,5650,1955,221900
102,2570,3,2.25,7242,1951,538000
103,770,2,1.0,10000,1933,180000
104,1960,4,3.0,5000,1965,604000
105,1680,3,2.0,8080,1987,510000
106,5420,4,4.5,101930,2001,1230000
107,1715,3,2.25,6819,1995,257500
108,1060,3,1.5,9711,1963,291850
109,1780,3,1.0,7470,1960,229500
110,1890,3,2.5,6560,2003,323000
111,3560,4,2.5,8125,1965,662500
112,1160,2,1.0,4000,1942,468000
113,1430,3,1.0,19901,1927,310000
114,1370,3,1.75,13780,1977,400000
115,1810,5,2.0,8050,1900,530000
116,2950,4,3.0,2463,1979,650000
117,1890,3,2.0,14040,1954,395000
118,1600,4,1.0,4300,1916,485000
119,1200,2,1.0,9850,1921,189000
120,1250,3,1.0,9774,1969,230000
121,2270,3,1.0,3982,1921,385000
122,1070,3,2.25,6300,2008,285000
123,2450,5,2.5,6500,1985,252700
124,1400,2,1.5,15838,1915,252700
125,1710,3,1.0,10300,1931,329000
126,2450,3,2.5,3000,2001,438000
127,1520,3,1.75,7090,1966,415000
128,1430,3,1.0,5600,1968,280000
129,1520,3,1.5,8580,1999,437000
130,2570,4,2.5,11029,1980,719000
