applicant_id,income,loan_amount,credit_score,debt_amount,term_years,default
1001,45000,12000,710,5000,3,0
1002,28000,15000,580,12000,5,1
1003,75000,20000,740,8000,3,0
1004,32000,18000,590,14000,5,1
1005,95000,25000,800,4000,3,0
1006,22000,10000,560,9000,3,1
1007,60000,15000,680,10000,4,0
1008,40000,22000,620,18000,5,1
1009,82000,18000,750,6000,3,0
1010,52000,14000,690,11000,4,0
1011,29000,16000,570,13000,5,1
1012,110000,30000,820,5000,5,0
1013,38000,19000,610,16000,4,1
1014,64000,12000,720,7000,3,0
1015,48000,20000,650,15000,5,0
1016,26000,14000,550,11000,4,1
1017,88000,22000,770,7000,3,0
1018,34000,17000,600,15000,5,1
1019,70000,16000,730,9000,4,0
1020,42000,13000,670,8000,3,0
