PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,3,male,22.0,1,0,7.25,S,0
2,1,female,38.0,1,0,71.28,C,1
3,3,female,26.0,0,0,7.92,S,1
4,1,female,35.0,1,0,53.10,S,1
5,3,male,35.0,0,0,8.05,S,0
6,3,male,27.0,0,0,8.46,Q,0
7,1,male,54.0,0,0,51.86,S,0
8,3,male,2.0,3,1,21.07,S,0
9,3,female,27.0,0,2,11.13,S,1
10,2,female,14.0,1,0,30.07,C,1
11,3,female,4.0,1,1,16.70,S,1
12,1,female,58.0,0,0,26.55,S,1
13,3,male,20.0,0,0,8.05,S,0
14,3,male,39.0,1,5,31.27,S,0
15,3,female,14.0,0,0,7.85,S,0
16,2,female,55.0,0,0,16.00,S,1
17,3,male,2.0,4,1,29.12,Q,0
18,2,male,31.0,0,0,13.00,S,1
19,3,female,22.0,0,0,7.22,C,1
20,2,male,35.0,0,0,26.00,S,0
21,2,male,34.0,0,0,13.00,S,1
22,3,female,15.0,0,0,8.03,Q,1
23,1,male,28.0,0,0,35.50,S,1
24,1,male,19.0,3,2,263.00,S,0
25,3,female,38.0,1,5,31.39,S,1
26,3,male,26.0,0,0,7.22,C,0
27,1,male,19.0,1,0,263.00,S,0
28,3,female,24.0,0,0,7.88,Q,1
29,3,male,23.0,0,0,7.89,S,0
30,1,male,40.0,0,0,27.72,C,0
31,1,female,35.0,1,0,146.52,C,1
32,3,female,18.0,0,0,7.75,Q,1
33,2,male,66.0,0,0,10.50,S,0
34,2,male,28.0,0,0,10.50,S,0
35,1,male,42.0,1,0,52.00,S,0
36,3,male,26.0,0,0,7.23,C,1
37,3,male,21.0,0,0,8.05,S,0
38,3,female,18.0,2,0,18.00,S,0
39,3,female,14.0,1,0,11.24,C,1
40,3,female,40.0,1,0,9.47,S,0
41,2,female,27.0,1,0,21.00,S,0
42,3,male,29.0,1,1,15.25,C,0
43,2,female,3.0,1,2,41.58,C,1
44,3,female,19.0,0,0,7.88,Q,1
45,3,male,25.0,0,0,7.90,S,0
46,1,female,45.0,0,0,26.25,S,1
47,3,male,33.0,0,0,7.89,S,0
48,3,female,28.0,0,0,7.75,Q,1
49,3,male,26.0,2,0,21.68,C,0
50,1,female,52.0,1,0,78.27,S,1
